Name,Position,Date,Organization,Email
John Doe,President,January 15 2025,APCGG Gaming Genesis,john.doe@example.com
Jane Smith,Vice President,January 15 2025,APCGG Gaming Genesis,jane.smith@example.com
Robert Johnson,Secretary,January 15 2025,APCGG Gaming Genesis,robert.j@example.com
Maria Garcia,Treasurer,January 15 2025,APCGG Gaming Genesis,maria.g@example.com
David Lee,Public Relations Officer,January 15 2025,APCGG Gaming Genesis,david.lee@example.com
Sarah Williams,Event Coordinator,January 15 2025,APCGG Gaming Genesis,sarah.w@example.com
Michael Brown,Technical Director,January 15 2025,APCGG Gaming Genesis,michael.b@example.com
Emily Davis,Membership Chair,January 15 2025,APCGG Gaming Genesis,emily.d@example.com
James Wilson,Competition Manager,January 15 2025,APCGG Gaming Genesis,james.w@example.com
Lisa Anderson,Social Media Manager,January 15 2025,APCGG Gaming Genesis,lisa.a@example.com
